,year,bb_date,rank,song,artist,binary,language,total_words,non_e_words,streams,position,spins,radio_rank
0,2020,2020-01-11,1,circles,post malone,0.0,english,314.0,0.0,7932216.0,3.0,7274.0,2.0
1,2020,2020-01-11,2,memories,maroon 5,0.0,english,442.0,0.0,4416365.0,28.0,5926.0,5.0
2,2020,2020-01-11,3,the box,roddy ricch,0.0,english,540.0,3.0,12533419.0,1.0,,
3,2020,2020-01-11,4,someone you loved,lewis capaldi,0.0,english,323.0,0.0,4729716.0,23.0,5324.0,6.0
4,2020,2020-01-11,5,roxanne,arizona zervas,0.0,english,355.0,0.0,9844160.0,2.0,3759.0,12.0
5,2020,2020-01-11,6,good as hell,lizzo,0.0,english,371.0,0.0,4099222.0,93.0,7814.0,1.0
6,2020,2020-01-11,7,dance monkey,tones and i,0.0,english,434.0,0.0,6520438.0,9.0,3587.0,14.0
7,2020,2020-01-11,8,highest in the room,travis scott,0.0,english,360.0,3.0,10833666.0,10.0,2988.0,19.0
8,2020,2020-01-11,9,10000 hours,dan and shay,0.0,english,319.0,0.0,3298212.0,45.0,6501.0,3.0
9,2020,2020-01-11,10,lose you to love me,selena gomez,0.0,english,359.0,0.0,3934852.0,36.0,6025.0,4.0
10,2020,2020-01-11,11,senorita,shawn mendes,0.0,english,357.0,5.0,3346681.0,44.0,,
11,2020,2020-01-11,12,ballin,dj mustard,0.0,english,577.0,5.0,5527310.0,13.0,4145.0,9.0
12,2020,2020-01-11,13,bop,dababy,0.0,english,708.0,0.0,7560429.0,4.0,2364.0,37.0
13,2020,2020-01-11,14,bad guy,billie eilish,0.0,english,222.0,0.0,4304151.0,30.0,2382.0,35.0
14,2020,2020-01-11,15,old town road,lil nas x,0.0,english,310.0,0.0,2330214.0,87.0,595.0,297.0
15,2020,2020-01-11,16,no guidance,chris brown,0.0,english,612.0,0.0,3280835.0,47.0,3703.0,15.0
16,2020,2020-01-11,17,panini,lil nas x,0.0,english,212.0,2.0,4223462.0,85.0,3982.0,10.0
17,2020,2020-01-11,18,truth hurts,lizzo,0.0,english,428.0,0.0,3716353.0,38.0,4229.0,8.0
18,2020,2020-01-11,19,trampoline,shaed,0.0,english,218.0,0.0,2067884.0,115.0,5119.0,7.0
19,2020,2020-01-11,20,heartless,the weeknd,0.0,english,378.0,0.0,6714619.0,25.0,3891.0,11.0
20,2020,2020-01-11,21,dont start now,dua lipa,0.0,english,278.0,0.0,4566814.0,27.0,3006.0,18.0
21,2020,2020-01-11,22,bandit,juice wrld,0.0,english,627.0,0.0,6851628.0,7.0,500.0,197.0
22,2020,2020-01-11,23,everything i wanted,billie eilish,0.0,english,305.0,0.0,5755926.0,11.0,2077.0,44.0
23,2020,2020-01-11,24,hot,young thug,0.0,english,572.0,0.0,5788877.0,40.0,2225.0,41.0
24,2020,2020-01-11,25,only human,jonas brothers,0.0,english,329.0,0.0,,,3678.0,13.0
25,2020,2020-01-11,26,one man band,old dominion,0.0,english,315.0,0.0,1886449.0,134.0,2213.0,42.0
26,2020,2020-01-11,27,woah,lil baby,0.0,english,664.0,1.0,4021843.0,34.0,1414.0,65.0
27,2020,2020-01-11,28,i dont care,ed sheeran,0.0,english,531.0,0.0,2071194.0,113.0,2949.0,40.0
28,2020,2020-01-11,29,sucker,jonas brothers,0.0,english,381.0,0.0,2063509.0,116.0,2893.0,20.0
29,2020,2020-01-11,30,even though im leaving,luke combs,0.0,english,340.0,0.0,,,2717.0,23.0
30,2020,2020-01-11,31,falling,trevor daniel,0.0,english,328.0,0.0,10570607.0,5.0,,
31,2020,2020-01-11,32,hot girl bummer,blackbear,0.0,english,513.0,0.0,4713252.0,24.0,2511.0,30.0
32,2020,2020-01-11,33,ransom,lil tecca,0.0,english,407.0,0.0,6002052.0,37.0,452.0,218.0
33,2020,2020-01-11,34,lover,taylor swift,0.0,english,284.0,0.0,,,2492.0,31.0
34,2020,2020-01-11,35,adore you,harry styles,0.0,english,303.0,0.0,5638884.0,12.0,2182.0,43.0
35,2020,2020-01-11,36,the bones,maren morris,0.0,english,319.0,0.0,1584999.0,182.0,2722.0,22.0
36,2020,2020-01-11,37,graveyard,halsey,0.0,english,370.0,0.0,2257139.0,98.0,2715.0,24.0
37,2020,2020-01-11,38,out west,jackboys,0.0,english,492.0,0.0,6996820.0,6.0,,
38,2020,2020-01-11,39,on chill,wale,0.0,english,576.0,0.0,,,3453.0,16.0
39,2020,2020-01-11,40,talk,khalid,0.0,english,278.0,0.0,2284214.0,94.0,2479.0,32.0
40,2020,2020-01-11,41,suicidal,ynw melly,0.0,english,442.0,0.0,5522267.0,14.0,,
41,2020,2020-01-11,42,beautiful people,ed sheeran,0.0,english,338.0,0.0,2647825.0,64.0,2547.0,28.0
42,2020,2020-01-11,43,suge,dababy,0.0,english,745.0,0.0,4082244.0,32.0,1350.0,70.0
43,2020,2020-01-11,44,futsal shuffle 2020,lil uzi vert,0.0,english,762.0,2.0,6669212.0,8.0,,
44,2020,2020-01-11,45,juicy,doja cat,0.0,english,690.0,0.0,2056983.0,118.0,2359.0,38.0
45,2020,2020-01-11,46,no idea,don toliver,0.0,english,412.0,0.0,4660645.0,26.0,,
46,2020,2020-01-11,47,baby,quality control,0.0,english,556.0,0.0,2591914.0,67.0,1881.0,50.0
47,2020,2020-01-11,48,gang gang,jackboys,0.0,english,770.0,3.0,4792831.0,22.0,,
48,2020,2020-01-11,49,what if i never get over you,lady antebellum,0.0,english,291.0,0.0,,,2536.0,29.0
49,2020,2020-01-11,50,my oh my,camila cabello,0.0,english,443.0,0.0,4960127.0,17.0,431.0,232.0
50,2020,2020-01-11,51,ridin roads,dustin lynch,0.0,english,367.0,0.0,,,2570.0,26.0
51,2020,2020-01-11,52,had enough,don toliver,0.0,english,400.0,2.0,5420011.0,15.0,,
52,2020,2020-01-11,53,heat,chris brown,0.0,english,659.0,0.0,,,2671.0,25.0
53,2020,2020-01-11,54,playing games,summer walker,0.0,english,269.0,0.0,,,1850.0,52.0
54,2020,2020-01-11,55,into the unknown,idina menzel,0.0,english,303.0,0.0,2529129.0,71.0,,
55,2020,2020-01-11,56,what to do,jackboys,0.0,english,431.0,0.0,4939870.0,18.0,,
56,2020,2020-01-11,57,vibez,dababy,0.0,english,599.0,0.0,4091021.0,31.0,,
57,2020,2020-01-11,58,heartache medication,jon pardi,0.0,english,240.0,0.0,,,2414.0,34.0
58,2020,2020-01-11,59,blinding lights,the weeknd,0.0,english,259.0,0.0,5144586.0,16.0,406.0,247.0
59,2020,2020-01-11,60,kinfolks,sam hunt,0.0,english,377.0,0.0,,,1971.0,48.0
60,2020,2020-01-11,61,remember you young,thomas rhett,0.0,english,233.0,0.0,,,2381.0,36.0
61,2020,2020-01-11,62,heart on ice,rod wave,0.0,english,262.0,0.0,1959188.0,124.0,,
62,2020,2020-01-11,63,take what you want,post malone,0.0,english,471.0,0.0,2554371.0,70.0,365.0,272.0
63,2020,2020-01-11,64,homesick,kane brown,0.0,english,274.0,0.0,,,1637.0,59.0
64,2020,2020-01-11,65,camelot,nle choppa,0.0,english,663.0,2.0,2876047.0,55.0,405.0,249.0
65,2020,2020-01-11,66,ritmo bad boys for life,black eyed peas,0.0,english,600.0,281.0,2157137.0,105.0,,
66,2020,2020-01-11,67,leave em alone,layton greene,0.0,english,526.0,0.0,,,3037.0,17.0
67,2020,2020-01-11,68,start wit me,roddy ricch,0.0,english,595.0,0.0,2767556.0,58.0,,
68,2020,2020-01-11,69,gatti,jackboys,0.0,english,477.0,10.0,3379341.0,41.0,,
69,2020,2020-01-11,70,high fashion,roddy ricch,0.0,english,629.0,4.0,1820280.0,144.0,,
70,2020,2020-01-11,71,toes,dababy,0.0,english,625.0,0.0,2922466.0,54.0,,
71,2020,2020-01-11,72,south of the border,ed sheeran,0.0,english,603.0,35.0,1813304.0,146.0,1296.0,74.0
72,2020,2020-01-11,73,slide,her,0.0,english,560.0,6.0,,,1323.0,73.0
73,2020,2020-01-11,74,i hope,gabby barrett,0.0,english,471.0,0.0,,,586.0,158.0
74,2020,2020-01-11,75,nice to meet ya,niall horan,0.0,english,278.0,4.0,1537875.0,190.0,1711.0,56.0
75,2020,2020-01-11,76,tusa,karol g,1.0,spanish,431.0,312.0,2380465.0,83.0,,
76,2020,2020-01-11,77,we back,jason aldean,0.0,english,388.0,0.0,,,1725.0,55.0
77,2020,2020-01-11,78,223s,ynw melly,0.0,english,561.0,0.0,3640307.0,39.0,,
78,2020,2020-01-11,79,easy,danileigh,0.0,english,360.0,0.0,,,1748.0,54.0
79,2020,2020-01-11,80,slow dancing in the dark,joji,0.0,english,254.0,0.0,2418211.0,80.0,,
80,2020,2020-01-11,81,best on earth,russ,0.0,english,485.0,0.0,1704346.0,165.0,1269.0,76.0
81,2020,2020-01-11,82,watermelon sugar,harry styles,0.0,english,233.0,0.0,4811184.0,21.0,,
82,2020,2020-01-11,83,vete,bad bunny,1.0,spanish,376.0,376.0,2664877.0,63.0,,
83,2020,2020-01-11,84,make me want to,jimmie allen,0.0,english,322.0,0.0,,,1785.0,53.0
84,2020,2020-01-11,85,enemies,post malone,0.0,english,590.0,0.0,2211466.0,100.0,1290.0,75.0
85,2020,2020-01-11,86,what she wants tonight,luke bryan,0.0,english,377.0,0.0,,,1393.0,68.0
86,2020,2020-01-11,87,homecoming queen,kelsea ballerini,0.0,english,245.0,0.0,,,1002.0,94.0
87,2020,2020-01-11,88,more hearts than mine,ingrid andress,0.0,english,305.0,0.0,,,1149.0,83.0
88,2020,2020-01-11,89,tip toe,roddy ricch,0.0,english,600.0,7.0,2339104.0,86.0,,
89,2020,2020-01-11,90,i wish grandpas never died,riley green,0.0,english,336.0,0.0,,,978.0,100.0
90,2020,2020-01-11,91,death,trippie redd,0.0,english,460.0,0.0,3140564.0,49.0,,
91,2020,2020-01-11,92,yellow hearts,ant saunders,0.0,english,459.0,0.0,2927837.0,52.0,,
92,2020,2020-01-11,93,jerry sprunger,tory lanez,0.0,english,664.0,0.0,,,1121.0,85.0
93,2020,2020-01-11,94,let me know,juice wrld,0.0,english,435.0,1.0,2851530.0,56.0,,
94,2020,2020-01-11,95,loco contigo,dj snake,1.0,spanish,388.0,276.0,,,689.0,136.0
95,2020,2020-01-11,96,candy,doja cat,0.0,english,383.0,0.0,1857037.0,139.0,,
